City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,dalcahue,-42.3628,-73.7022,50.2,87,100,3.44,CL,1732663759
199,egersund,58.4513,5.9997,45.48,80,72,20.71,NO,1732663759
200,peace river,56.2501,-117.286,10.71,92,100,6.91,CA,1732663759
201,las khorey,11.1595,48.1967,78.28,75,3,5.06,SO,1732663760
202,wailua homesteads,22.0669,-159.378,81.12,71,0,14.97,US,1732663760
203,galesong,-5.3166,119.3661,80.96,81,100,6.08,ID,1732663760
204,olyokminsk,60.3736,120.4264,-18.08,99,93,3.47,RU,1732663760
205,kapa'a,22.0752,-159.319,82.47,70,0,14.97,US,1732663760
206,acarau,-2.8856,-40.12,79.84,78,3,16.11,BR,1732663760
207,minusinsk,53.7103,91.6875,12.22,81,8,2.39,RU,1732663500
208,starkville,33.4504,-88.8184,53.26,87,40,0.0,US,1732663761
209,susuman,62.7833,148.1667,-33.81,97,60,1.21,RU,1732663761
210,bang saphan,11.2126,99.5117,76.24,85,100,3.58,TH,1732663761
211,sao joao da barra,-21.6403,-41.0511,74.19,80,5,19.39,BR,1732663761
212,avarua,-21.2078,-159.775,78.85,73,75,11.5,CK,1732663761
213,nova sintra,14.8667,-24.7167,78.24,77,1,12.55,CV,1732663761
214,yambio,4.5721,28.3955,68.81,94,93,3.29,SS,1732663761
215,zeya,53.75,127.2667,19.45,85,100,7.83,RU,1732663761
216,mhangura,-16.8939,30.1683,69.04,82,100,4.16,ZW,1732663761
217,bocanda,7.0626,-4.4995,74.75,41,69,4.23,CI,1732663762
218,utrik,11.2278,169.8474,82.78,80,98,21.03,MH,1732663762
219,floro,61.5996,5.0328,40.96,70,32,6.91,NO,1732663762
220,show low,34.2542,-110.0298,55.69,49,0,14.97,US,1732663731
221,lerwick,60.1545,-1.1494,41.13,69,98,10.33,GB,1732663560
222,holualoa,19.6228,-155.9522,80.44,64,20,18.41,US,1732663762
223,borzya,50.3833,116.5167,3.09,72,100,15.64,RU,1732663762
224,bomadi,5.1593,5.9252,77.86,86,93,3.74,NG,1732663762
225,kourou,5.1552,-52.6478,79.16,84,79,9.69,GF,1732663568
226,sao felix do xingu,-6.6447,-51.995,73.76,92,100,3.04,BR,1732663763
227,bandon,51.7469,-8.7425,42.39,91,55,6.67,IE,1732663763
228,moose jaw,50.4001,-105.5344,5.25,92,98,11.5,CA,1732663621
229,embi,48.8264,58.1442,30.61,69,0,7.25,KZ,1732663763
230,makassar,-5.14,119.4221,78.85,94,20,3.44,ID,1732663763
231,tralee,52.2704,-9.7026,36.48,93,0,4.65,IE,1732663763
232,quellon,-43.1167,-73.6167,53.1,81,80,2.66,CL,1732663763
233,massawa,15.6097,39.45,83.79,62,17,4.25,ER,1732663763
234,castillos,-34.1667,-53.8333,66.85,98,80,8.9,UY,1732663764
235,kerikeri,-35.2268,173.9474,69.67,62,31,1.99,NZ,1732663764
236,selfoss,63.9331,-20.9971,33.28,92,100,4.83,IS,1732663764
237,west island,-12.1568,96.8225,80.58,94,100,12.66,CC,1732663824
238,nyurba,63.2842,118.3319,-8.14,96,61,7.54,RU,1732663824
239,san borja,-14.8167,-66.85,85.14,61,100,4.92,BO,1732663824
240,itatiaia,-22.4961,-44.5633,70.7,81,71,1.28,BR,1732663824
241,shakhtersk,48.0625,38.5167,34.92,70,100,4.92,UA,1732663824
242,murun-kuren,49.6342,100.1625,12.99,77,90,4.99,MN,1732663824
243,taoudenni,22.6783,-3.9836,70.48,27,12,10.47,ML,1732663824
